geneid,1,2,3,1-3ave,4,5,6,4-6ave,8,9,8-9ave,10,11,12,10-12ave,13,log2(4-6ave/1-3ave),log2(10-12ave/8-9ave)
C1GALT1,21.9261357,20.87485812,21.87270831,21.55790071,25.15062561,19.31486299,23.55102729,22.67217196,4.619515626,4.551514897,4.585515262,5.636507623,4.623577609,4.637996166,4.966027132,17.21543298,0.072705906,0.115008265
C1GALT1C1,37.7453162,37.16694522,37.02695358,37.31307167,36.85997511,36.00903426,39.28177883,37.38359607,30.37072728,32.16510704,31.26791716,28.84908363,31.69586146,28.37722199,29.64072236,30.83146988,0.002724224,-0.077102511
CA4,0.397073252,0.32660171,0.53579742,0.419824127,0.149138323,0.191801473,0.375669577,0.238869791,0,0,0,0,0,0,0,0.34269988,-0.813558064,0
CACNA2D1,20.08335692,14.58593811,21.25381304,18.64103602,16.39038444,9.443018776,18.61095794,14.81478705,0.028583573,0.013883077,0.021233325,0,0,0.014452191,0.004817397,19.9378302,-0.331444135,-2.139773061
CACNA2D2,0,0,0,0,0,0,0,0,0.244420749,0.118715464,0.181568107,0.107886921,0.09674857,0.12358201,0.109405834,0,0,-0.730815897
CACNA2D3,0.74197431,0.406860408,0.957933888,0.702256202,0.154822824,0.248890135,0.222850549,0.208854502,0,0,0,0,0.03274328,0,0.010914427,0.667053942,-1.749494362,13.41408088
CACNA2D4,0.125998896,0.062182161,0.075563872,0.087914976,0.094648853,0.060862256,0.051088758,0.068866622,0.235995022,0.245620881,0.240807952,0.223216755,0.320274623,0.255689707,0.266393695,0.027186298,-0.35229949,0.145676331
CALR,3008.166797,3005.009911,3083.907807,3032.361505,2071.29721,2272.213963,2133.574766,2159.028646,461.6990126,460.4327223,461.0658675,275.1867805,279.848751,273.7665738,276.2673684,1639.906811,-0.49005937,-0.738907699
CALR3,0,0.108449664,0,0.036149888,0,0,0,0,0,0,0,0.116791287,0,0.089187839,0.068659709,0,-15.14174346,16.06719713
CANT1,105.8516636,108.2318321,110.1650882,108.0828613,101.1512036,88.78408206,102.0173241,97.3175366,69.75836924,72.03580607,70.89708766,77.94873987,77.75258707,82.35218924,79.35117206,87.9840277,-0.151366064,0.162525165
